"","zip","total_SHUT","mean_SHUT","mean_shutoffs_1000p","mean_shutoffs_HH","Prc_W","Prc_Blk","Prc_W_Own","Prc_B_Own","Prc_Hisp_Own","Prc_Utils_Incl","Prc_Rnt","Prc_Own","Prc_NonW","Prc_NonW_Own","log_Prc_NonW","log_NonW_Own","log_shut","log_MHI"
"1",60601,16,5.33333333333333,0.545956315182967,0.000839584041390409,0.675530300641959,0.0829498807582936,0.306558699681074,0.00367570748270756,0,1,0.652610801194474,0.347389198805526,0.324469699358041,0.693441300318926,-1.12556312359833,-0.366088685464399,1.61209396898383,11.3540993845561
"2",60602,8,1.6,1.18973109803083,0.00242876017945013,0.755269936954415,0.0220368489307812,0.251377554065663,0.00779363098318381,0.0650572435509282,1,0.590787716888833,0.409212283111167,0.244730063045585,0.748622445934337,-1.40759945933444,-0.289520500078953,0.358351893845611,11.3057447352202
"3",60603,9,2.25,3.20694008636689,0.00762241162481095,0.663067647592849,0.0382276095211764,0.250342449500212,0,0.00865580448065173,1,0.651378605489861,0.348621394510139,0.336932352407151,0.749657550499788,-1.08787310347656,-0.288138776058614,0.575646273248511,11.6146843565016
"4",60604,17,2.83333333333333,6.38137897568616,0.00974492971699598,0.757975656152577,0.0163798083992525,0.406525938474762,0,0.0434870096011278,1,0.523207212019614,0.476792787980386,0.242024343847423,0.593474061525238,-1.41871696347389,-0.521761770141496,-Inf,11.7898604597525
"5",60605,60,8.57142857142857,0.355772354185173,0.000670763138121553,0.590603733492753,0.193961501099587,0.333832999167977,0.0660785632904623,0.0140700230259462,1,0.513068023959613,0.486931976040387,0.409396266507247,0.666167000832024,-0.893071725221916,-0.406214887874741,-Inf,11.3407819021468
"6",60606,7,1.4,0.541450640182463,0.000883617488727136,0.821051893541175,0.0213500600203434,0.389418233179389,0.00294752672486469,0.0232300674766594,1,0.541169673177069,0.458830326822931,0.178948106458825,0.610581766820611,-1.7206594232241,-0.493343060213665,-Inf,11.5662842425444
"7",60607,148,21.1428571428571,0.829089393081223,0.00184009345476449,0.588981531960865,0.154255248449536,0.371320177588078,0.0213530840889053,0.0239994278703624,1,0.512141180299605,0.487858819700395,0.411018468039135,0.628679822411922,-0.889117131093634,-0.464133178251744,2.8911081458806,11.3355314340096
"8",60608,1763,251.857142857143,3.1789167183448,0.00999374428049384,0.460363448017616,0.168282503807443,0.19376590139989,0.00687085989504279,0.163507212565545,1,0.661544696101611,0.338455303898389,0.539636551982384,0.80623409860011,-0.616859417909392,-0.215381133733179,5.4848132165794,10.5082106349645
"9",60609,4080,582.857142857143,9.31997475160643,0.0304271999945209,0.471573245943675,0.264653322341913,0.230681750963538,0.078970952308338,0.176383889037355,1,0.5822686857057,0.4177313142943,0.528426754056325,0.769318249036462,-0.637851075412241,-0.262250547186146,6.30174100330575,10.4205300863383
"10",60610,71,10.1428571428571,0.263509926195202,0.000446994683387047,0.731939252112029,0.165880534297535,0.355427748752988,0.0137615905157135,0.00979951726200299,1,0.609504299330396,0.390495700669604,0.268060747887971,0.644572251247012,-1.31654165293355,-0.439168358546299,2.15138238274773,11.2279058465627
"11",60611,10,3.33333333333333,0.112209495526753,0.000171596848190178,0.77437551412394,0.0364927041248087,0.412960398566422,0.0105970308757373,0.0172355495366687,1,0.521841174067921,0.478158825932079,0.22562448587606,0.587039601433578,-1.48888322856325,-0.532662997317925,1.1945063128187,11.3613170383666
"12",60612,1570,224.285714285714,6.26238352700744,0.0169383128834889,0.260406393929379,0.625881638268463,0.150037110119322,0.099932555539225,0.0484121334623984,1,0.712136366567399,0.287863633432601,0.739593606070621,0.849962889880678,-0.301654424624681,-0.162562589414763,5.32596865923091,10.490397400203
"13",60613,86,12.2857142857143,0.248882347920775,0.000462940029403159,0.827766979985148,0.0625089268652876,0.354479030593333,0.00965654175794545,0.0246290412953642,1,0.598882009066077,0.401117990933923,0.172233020014852,0.645520969406667,-1.75890695151,-0.43769758369765,-Inf,11.1568431744083
"14",60614,220,31.4285714285714,0.45992619953619,0.000936911055610936,0.864098793042268,0.0412074659782763,0.399406760802765,0.00468714142172541,0.0156590615765154,1,0.562736933451595,0.437263066548405,0.135901206957732,0.600593239197235,-1.99582707664497,-0.509837380244125,3.1132969387245,11.4148089368387
