"","zip","year","REST","SHUT","IRSO","Total_Pop","White","Black","Native","Asian","Latino","HIPI","Other","TWOPLUS","Utils_Incl","MHI","TotalHH","TotalOwn","TotalRent","WhiteOwn","WhiteRent","BlackOwn","BlackRent","HispOwn","HispRent","MedYrBlt","RenYrBlt","OwnYrBlt","shutoffs_1000p","shutoffs_HH","Prc_W","Prc_Blk","Prc_Hisp","Prc_W_Own","Prc_B_Own","Prc_Hisp_Own","Prc_Utils_Incl","Prc_Rnt","Prc_Own","Prc_NonW","Prc_NonW_Own","log_Prc_NonW","log_NonW_Own","log_shut","log_MHI"
"1",60601,2011,1,7,0,9791,6656,680,17,1895,581,0,341,202,4120,80613,6343,2223,4120,1966,2400,28,541,0,245,1991,1995,1980,0.714942293943417,0.00110357874822639,0.679807986926769,0.069451537125932,0.0593402103973036,0.309947974144726,0.00441431499290556,0,1,0.649534920384676,0.350465079615324,0.320192013073231,0.690052025855274,-1.13883442228705,-0.370988284443002,1.94591014905531,11.2974152058114
"2",60602,2011,0,3,0,1322,954,36,0,266,185,0,0,66,309,81750,637,328,309,191,240,8,0,55,16,1988,1999,1939,2.26928895612708,0.00470957613814757,0.721633888048411,0.027231467473525,0.139939485627837,0.299843014128728,0.0125588697017268,0.0863422291993721,1,0.485086342229199,0.514913657770801,0.278366111951589,0.700156985871272,-1.2788180822427,-0.356450703552099,1.09861228866811,11.3114210887595
"3",60603,2011,0,5,0,623,423,29,0,171,31,0,0,0,184,107056,261,77,184,55,134,0,14,0,15,1974,1977,1950,8.02568218298555,0.0191570881226054,0.678972712680578,0.0465489566613162,0.0497592295345104,0.210727969348659,0,0,1,0.704980842911877,0.295019157088123,0.321027287319422,0.789272030651341,-1.13622915223942,-0.236644238533112,1.6094379124341,11.5811073410226
"4",60604,2011,0,8,0,428,351,0,0,55,15,0,0,22,149,105984,289,140,149,118,132,0,0,15,0,1939,1939,1939,18.6915887850467,0.027681660899654,0.820093457943925,0,0.0350467289719626,0.408304498269896,0,0.0519031141868512,1,0.515570934256055,0.484429065743945,0.179906542056075,0.591695501730104,-1.71531777372811,-0.524763131609772,2.07944154167984,11.5710434183049
"5",60605,2011,4,30,6,22887,13217,4919,17,3694,1084,0,542,498,6241,71362,12396,6155,6241,4143,3012,1104,1804,205,275,2000,2002,1996,1.31078778345786,0.00242013552758954,0.577489404465417,0.214925503560973,0.0473631319089439,0.334220716360116,0.0890609874152953,0.0165375927718619,1,0.503468860922878,0.496531139077122,0.422510595534583,0.665779283639884,-0.861540754310999,-0.406797069314955,3.40119738166216,11.175520793767
"6",60606,2011,0,2,2,2399,2018,50,0,263,142,0,0,68,760,101912,1466,706,760,614,660,0,0,25,36,1949,2003,1939,0.833680700291788,0.00136425648021828,0.841183826594414,0.0208420175072947,0.059191329720717,0.418826739427012,0,0.0170532060027285,1,0.518417462482947,0.481582537517053,0.158816173405586,0.581173260572988,-1.84000788771299,-0.542706355617281,0.693147180559945,11.5318649747896
"7",60607,2011,10,37,21,24277,13851,4240,92,4648,1701,0,620,826,5441,80501,11051,5610,5441,4138,2848,343,1214,205,337,1984,1971,1997,1.52407628619681,0.00334811329291467,0.570540017300325,0.174650904147959,0.0700663179140751,0.3744457515157,0.0310379151208035,0.0185503574337164,1,0.492353633155371,0.507646366844629,0.429459982699675,0.6255542484843,-0.845226713727056,-0.469117224643517,3.61091791264422,11.2960248856897
"8",60608,2011,107,301,159,80313,35791,12869,585,7279,47025,24,22170,1595,16715,35603,25203,8488,16715,5001,7504,143,3070,4168,8979,1939,1939,1939,3.74783658934419,0.011943022656033,0.445643918170159,0.160235578299902,0.585521646557842,0.198428758481133,0.00567392770701901,0.165377137642344,1,0.663214696663096,0.336785303336904,0.554356081829841,0.801571241518867,-0.589948051722956,-0.221181425643827,5.70711026474888,10.4801851829526
"9",60609,2011,160,545,519,63208,29089,18201,462,2395,31363,10,11826,1225,10633,34966,19103,8470,10633,4744,4469,1654,3879,3669,4605,1939,1939,1939,8.62232628781167,0.0285295503324085,0.460210732818631,0.287954056448551,0.496187191494747,0.248337957388892,0.0865832591739517,0.192064073705701,1,0.556614144375229,0.443385855624771,0.539789267181369,0.751662042611108,-0.616576461550015,-0.285468467469275,6.30078579466324,10.4621314397576
"10",60610,2011,5,17,5,37898,27516,6369,119,2953,1913,0,454,487,13094,71986,22370,9276,13094,8513,8948,249,2595,247,835,1972,1970,1973,0.448572484036097,0.00075994635672776,0.726054145337485,0.168056361813288,0.0504775977624149,0.380554313813143,0.0111309789897184,0.0110415735359857,1,0.585337505587841,0.414662494412159,0.273945854662515,0.619445686186857,-1.29482480284239,-0.47893025538546,2.83321334405622,11.184226934647
