"","Maj_Minority","n","mean","max","min","sd","median"
"1","No",210,1.48160730362109,8.02568218298555,0.018628912071535,1.39564354992477,0.969100645194068
"2","Yes",160,9.89188351861182,52.5170826941849,0.024633575563493,8.60141069298076,6.9604466766809
"3","Total",370,5.11848350469816,52.5170826941849,0.018628912071535,7.09858775752095,2.36231183434678
